repo,sha,author,date,message,additions,deletions,total_changes,url
pytorch/pytorch,2a09f6e02ee98fdacedaf69519957d3e5b6baa10,cyyever,2025-11-12 05:15:40+00:00,"[4/N] Use Python 3.10 typing (#167458)

This PR applies new Union and Optional typing syntax to some files.

Pull Request resolved: https://github.com/pytorch/pytorch/pull/167458
Approved by: https://github.com/albanD",145,162,307,https://github.com/pytorch/pytorch/commit/2a09f6e02ee98fdacedaf69519957d3e5b6baa10
pytorch/pytorch,bf380fbd4c40960a4ed1f4d14e6fe6e680b2e365,pytorchupdatebot,2025-11-12 04:39:58+00:00,"[vision hash update] update the pinned vision hash (#167491)

This PR is auto-generated nightly by [this action](https://github.com/pytorch/pytorch/blob/main/.github/workflows/nightly.yml).
Update the pinned vision hash.
Pull Request resolved: https://github.com/pytorch/pytorch/pull/167491
Approved by: https://github.com/pytorchbot",1,1,2,https://github.com/pytorch/pytorch/commit/bf380fbd4c40960a4ed1f4d14e6fe6e680b2e365
pytorch/pytorch,148fd9a5225b8f341da5e6d27160520a68d31f80,pytorchupdatebot,2025-11-12 04:31:26+00:00,"[audio hash update] update the pinned audio hash (#167490)

This PR is auto-generated nightly by [this action](https://github.com/pytorch/pytorch/blob/main/.github/workflows/nightly.yml).
Update the pinned audio hash.
Pull Request resolved: https://github.com/pytorch/pytorch/pull/167490
Approved by: https://github.com/pytorchbot",1,1,2,https://github.com/pytorch/pytorch/commit/148fd9a5225b8f341da5e6d27160520a68d31f80
pytorch/pytorch,7bb8d8c2004172ad6a02b5ada336e16302f0735c,jithunnair-amd,2025-11-12 03:44:15+00:00,"[ROCm][CI] Add trunk-rocm-mi300.yml to test new MI3xx CI capacity (#167587)

This adds a workflow to run full set of UTs on default and distributed configs on ROCm MI3xx CI runners, to _eventually_ assess if the CI capacity can handle the PR-based workload for trunk.yml. The plan was to keep this workflow in unstable as we test out this new CI capacity, so it wouldn't impact PR merges. However, since upstream maintainers have indicated that, as of today, even unstable workflows will block PR merges, we are going with branch push-based triggers to at least pipeclean this workflow on the new CI capacity.

Pull Request resolved: https://github.com/pytorch/pytorch/pull/167587
Approved by: https://github.com/jeffdaily",84,0,84,https://github.com/pytorch/pytorch/commit/7bb8d8c2004172ad6a02b5ada336e16302f0735c
pytorch/pytorch,5ce4a8b49f9986b050a9f6fcc7dd4cf999baa509,pytorchmergebot,2025-11-12 03:36:25+00:00,"Revert ""fix wrong accuracy_status when exception. (#165731)""

This reverts commit bfcdbd0a970e5ce08cecd0aa33dd389819f0ec4f.

Reverted https://github.com/pytorch/pytorch/pull/165731 on behalf of https://github.com/zou3519 due to broke inductor periodic ([comment](https://github.com/pytorch/pytorch/pull/165731#issuecomment-3519743601))",4,8,12,https://github.com/pytorch/pytorch/commit/5ce4a8b49f9986b050a9f6fcc7dd4cf999baa509
pytorch/pytorch,7dd56474f24442554e461e59a389e5d5c3e91d51,yushangdi,2025-11-12 03:35:54+00:00,"[annotation] Skip copying custom meta for gradient accumulation nodes; tag with is_gradient_acc=True (#167572)

The seq_nr  doesn't always increment for gradient accumulation nodes, and they might be copying annotation from forward nodes.

I'm just going to skip copying the custom meta for any gradient accumulation nodes and give them a special tag e.g. node.meta[""is_gradient_acc""]=True

Example repro for deepseek torchtitan (without using DTensor): https://gist.github.com/yushangdi/aae13ea382732f31d0fdfb3ffeda12c8

(side note: if you want some more hints on these gradient acc node: 1) they have torch.ops.aten.add.Tensor op, not add.default. 2) they have the highest seq_nr(s) )

Pull Request resolved: https://github.com/pytorch/pytorch/pull/167572
Approved by: https://github.com/mlazos",67,4,71,https://github.com/pytorch/pytorch/commit/7dd56474f24442554e461e59a389e5d5c3e91d51
pytorch/pytorch,3260bf3b1960dde1572a03602ddddc81f0209bd5,zhxchen17,2025-11-12 03:33:37+00:00,"[export] stop gap strict export v2 enable and testing. (#167236)

Summary:
Added a new flag called ""use_legacy_dynamo_graph_capture"" which defaults to True and only False with the updated test_strict_export_v2.py

In addiotion to this flag, we also use legacy tracer when the following features are used:
1. dynamic shape
2. preserve module call signature
3. retracing.
4. draft mode.

Test Plan:
test_strict_export_v2.py

Fixes #ISSUE_NUMBER

Pull Request resolved: https://github.com/pytorch/pytorch/pull/167236
Approved by: https://github.com/tugsbayasgalan",108,8,116,https://github.com/pytorch/pytorch/commit/3260bf3b1960dde1572a03602ddddc81f0209bd5
pytorch/pytorch,05c6a06b2b2e562ed77082187b738a4902db43bd,drisspg,2025-11-12 02:18:24+00:00,"Add FA4 to sdpa (#167348)

# Summary
See title ;)

## Design

Currently once you install there is no going back in the same python process, this need not be the case, cc @mikaylagawarecki's work on being able to grab original impl. I'll leave for follow up.

Okay I added an open reg, but I really want the backends to be found so some weird typing but we get
<img width=""523"" height=""197"" alt=""Screenshot 2025-11-07 at 3 30 32 PM"" src=""https://github.com/user-attachments/assets/586de943-bbed-40cf-abd1-131f747a4cf1"" />

## Overheads:
<img width=""799"" height=""735"" alt=""Screenshot 2025-11-07 at 2 35 04 PM"" src=""https://github.com/user-attachments/assets/f9217f31-3e42-4816-8fb3-29ea8b49d735"" />
First call to forward -> majority of time is spent in jit for FA

First call to backward, 3sec interestingly it doesn't appear that with_stack gets events in the backwards loop @albanD is this expected?
<img width=""948"" height=""385"" alt=""Screenshot 2025-11-07 at 2 35 50 PM"" src=""https://github.com/user-attachments/assets/a40bacd0-3fb0-4bd8-b33e-bec8fb3f36c0"" />

Getting form Pt op to impl is about 43 us which is dwarfed by other cpu overheads
<img width=""1227"" height=""649"" alt=""Screenshot 2025-11-07 at 2 37 41 PM"" src=""https://github.com/user-attachments/assets/51da0615-facd-41e1-a6e2-fb7778079ab6"" />

Just invoking the jit object from cutesl is 100s of us
<img width=""545"" height=""414"" alt=""Screenshot 2025-11-07 at 2 38 19 PM"" src=""https://github.com/user-attachments/assets/d20345a0-6c47-4dcb-892f-9ef9894a1cf5"" />

### Example usage
```Py
#!/usr/bin/env python3

""""""Minimal FA4 smoke test for scaled dot product attention.""""""

from __future__ import annotations

import sys
from jsonargparse import CLI

import torch
import torch.nn.functional as F
from torch.nn.attention import (
    install_flash_attention_impl,
    sdpa_kernel,
    SDPBackend,
)

def _map_dtype(kind: str) -> torch.dtype:
    return torch.bfloat16 if kind == ""bf16"" else torch.float16

# To infinity and beyond
install_flash_attention_impl(""FA4"")

@sdpa_kernel([SDPBackend.FLASH_ATTENTION])
def main(
    module_path: str = ""flash_attn.cute.interface"",
    batch: int = 4,
    seq: int = 81292,
    heads: int = 16,
    head_dim: int = 128,
    device: int = 0,
    dtype: str = ""bf16""
    ) -> None:
    if not torch.cuda.is_available():
        sys.exit(""CUDA is required for FA4 smoke testing"")
    torch.cuda.set_device(device)
    dtype = _map_dtype(dtype)
    generator = torch.Generator(device=""cuda"").manual_seed(0)
    q = torch.randn(
        batch,
        heads,
        seq,
        head_dim,
        device=""cuda"",
        dtype=dtype,
        requires_grad=True,
        generator=generator,
    )
    k = torch.randn(
        batch,
        heads,
        seq,
        head_dim,
        device=""cuda"",
        dtype=dtype,
        requires_grad=True,
        generator=generator,
    )
    v = torch.randn(
        batch,
        heads,
        seq,
        head_dim,
        device=""cuda"",
        dtype=dtype,
        requires_grad=True,
        generator=generator,
    )
    from transformer_nuggets.utils.benchmark import profiler
    with profiler(""sdpa_FA4"", with_stack=False):
        for _ in range(3):
            out = F.scaled_dot_product_attention(q, k, v, attn_mask=None, dropout_p=0.0, is_causal=False)
            loss = out.real.sum()
            loss.backward()
    print(""Scaled dot product attention output norm:"", out.norm().item())
    print(""dq norm:"", q.grad.norm().item())

if __name__ == ""__main__"":
    CLI(main)
```

Pull Request resolved: https://github.com/pytorch/pytorch/pull/167348
Approved by: https://github.com/albanD, https://github.com/malfet",582,0,582,https://github.com/pytorch/pytorch/commit/05c6a06b2b2e562ed77082187b738a4902db43bd
pytorch/pytorch,25e9d8124c4d7ed99ed85cbc192610608510552a,pytorchmergebot,2025-11-12 03:22:48+00:00,"Revert ""Use c7i.2xlarge for B200 build (#167078)""

This reverts commit bb3748346484d49ace45dcc92b72c12b2ba30d98.

Reverted https://github.com/pytorch/pytorch/pull/167078 on behalf of https://github.com/zxiiro due to This seems to be breaking build when compile is not using sscache. Needs more investigation. ([comment](https://github.com/pytorch/pytorch/pull/167078#issuecomment-3519717750))",4,1,5,https://github.com/pytorch/pytorch/commit/25e9d8124c4d7ed99ed85cbc192610608510552a
pytorch/pytorch,bc882f8284bd8c68bcebcc0e2ab31c886bfb0daa,Guilherme Leobas,2025-11-11 21:27:33+00:00,"Support Python 3.14 Lazy Function Annotations on FX graph (#167573)

This was intersting to debug:
(1) Python 3.14 ships with a lazy way for retrieving annotations. The annotations field can be a callable that lazily evaluates it
(2) On the dynamo side, `SET_FUNCTION_ATTRIBUTE` needs to handle an extra flag value (0x10)
(3) The decorator `functools.wraps` used extensively in the codebase (e.g. `make_fx`, `functionalize`) doesn't copy the `__annotations__` attribute by default. To correctly retrieve an annotatin, we need to walk on the chain of `__wrapped__` objects and retrieve the attribute from the first function. Fortunately, there are functions on the stdlib to do this.

Fixes:
```
'test/functorch/test_eager_transforms.py::TestFunctionalizeCPU::test_functionalize_fx_out_op_cpu', 'test/functorch/test_eager_transforms.py::TestFunctionalizeCPU::test_functionalize_fx_transpose_simple_cpu', 'test/functorch/test_eager_transforms.py::TestFunctionalizeCPU::test_functionalize_optional_tensorlist2_cpu', 'test/functorch/test_eager_transforms.py::TestFunctionalizeCPU::test_functionalize_fx_multi_out_op_cpu', 'test/functorch/test_eager_transforms.py::TestFunctionalizeCPU::test_functionalize_fx_reapply_views_simple_cpu', 'test/functorch/test_eager_transforms.py::TestFunctionalizeCPU::test_functionalize_fx_simple_cpu', 'test/functorch/test_eager_transforms.py::TestFunctionalizeCPU::test_functionalize_nonfunctional_output_cpu', 'test/functorch/test_eager_transforms.py::TestFunctionalizeCPU::test_functionalize_opt_tensor_list_cpu', 'test/functorch/test_eager_transforms.py::TestFunctionalizeCPU::test_functionalize_optional_tensorlist1_cpu'
```

Pull Request resolved: https://github.com/pytorch/pytorch/pull/167573
Approved by: https://github.com/williamwen42",10,2,12,https://github.com/pytorch/pytorch/commit/bc882f8284bd8c68bcebcc0e2ab31c886bfb0daa
pytorch/pytorch,edd365ed4a3f8ef5f58187bbdf2e994bad1bff9a,sanketpurandare,2025-11-12 02:51:40+00:00,"[MemTracker] Fix:  Remove monkey patching DTensor dispatch (#167580)

Fixes `MemTracker` for #167051

Pull Request resolved: https://github.com/pytorch/pytorch/pull/167580
Approved by: https://github.com/anshul-si",13,23,36,https://github.com/pytorch/pytorch/commit/edd365ed4a3f8ef5f58187bbdf2e994bad1bff9a
pytorch/pytorch,1366a2fa55e7472a264f4bdd6b2f094a80828801,jithunnair-amd,2025-11-12 02:24:05+00:00,"[ROCm][CI] Enable uploading of artifacts from docker-builds.yml (#167379)

Needed for https://github.com/pytorch/pytorch/pull/167554 so that we can enable docker caching for ROCm MI3xx runners

Replaces https://github.com/pytorch/pytorch/pull/167378 (by filing from pytorch/pytorch branch so OIDC login doesn't fail due to forked repo)

Pull Request resolved: https://github.com/pytorch/pytorch/pull/167379
Approved by: https://github.com/jeffdaily",16,0,16,https://github.com/pytorch/pytorch/commit/1366a2fa55e7472a264f4bdd6b2f094a80828801
pytorch/pytorch,91f0c5a9dad82393cfff196b4da8cd6c9c48ce29,ruisizhang123,2025-11-12 02:18:31+00:00,"[simplefsdp] add manual bucketing pass (#165487)

As titled, this PR adds manual bucketing pass to SimpleFSDP. Users will need to parse FQNs they wanted to bucket together using `module_bucket_plans`. Then, `_manual_bucket_collectives` will get the node of the subgraphs correspond to each `bucket_module`, and bucket bucketable (FSDP-style) AG/RS together. `_manual_reorder_graph` reorders them for overlapping.

For detailed performance, see this torchtitan PR: https://github.com/pytorch/torchtitan/pull/1881.

There are a few todo items isted in torchtitan PR. Let's start with this PR that implements FSDP+TP+llama3 manual bucketing. I will fix/add the rest in follow up PRs.

Pull Request resolved: https://github.com/pytorch/pytorch/pull/165487
Approved by: https://github.com/ezyang",861,3,864,https://github.com/pytorch/pytorch/commit/91f0c5a9dad82393cfff196b4da8cd6c9c48ce29
pytorch/pytorch,67390692c5d8b2ee5c398c510d75a9708492da54,jithunnair-amd,2025-11-12 02:08:23+00:00,"[ROCm][CI] Restrict docker-cache-rocm.yml to main/release branches (#167593)

Follow-up to https://github.com/pytorch/pytorch/pull/167554

Pull Request resolved: https://github.com/pytorch/pytorch/pull/167593
Approved by: https://github.com/jeffdaily",2,5,7,https://github.com/pytorch/pytorch/commit/67390692c5d8b2ee5c398c510d75a9708492da54
pytorch/pytorch,1debfd44fd4e547d12423ca6cbab9406f0f29dae,pytorchmergebot,2025-11-12 02:05:30+00:00,"Revert ""Add FA4 to sdpa (#167348)""

This reverts commit cdf0a9c21f7c27298a5bc71620206353125c5494.

Reverted https://github.com/pytorch/pytorch/pull/167348 on behalf of https://github.com/malfet due to Looks like it broke lint? ([comment](https://github.com/pytorch/pytorch/pull/167348#issuecomment-3519549113))",0,581,581,https://github.com/pytorch/pytorch/commit/1debfd44fd4e547d12423ca6cbab9406f0f29dae
pytorch/pytorch,cdf0a9c21f7c27298a5bc71620206353125c5494,drisspg,2025-11-11 21:47:57+00:00,"Add FA4 to sdpa (#167348)

# Summary
See title ;)

## Design

Currently once you install there is no going back in the same python process, this need not be the case, cc @mikaylagawarecki's work on being able to grab original impl. I'll leave for follow up.

Okay I added an open reg, but I really want the backends to be found so some weird typing but we get
<img width=""523"" height=""197"" alt=""Screenshot 2025-11-07 at 3 30 32 PM"" src=""https://github.com/user-attachments/assets/586de943-bbed-40cf-abd1-131f747a4cf1"" />

## Overheads:
<img width=""799"" height=""735"" alt=""Screenshot 2025-11-07 at 2 35 04 PM"" src=""https://github.com/user-attachments/assets/f9217f31-3e42-4816-8fb3-29ea8b49d735"" />
First call to forward -> majority of time is spent in jit for FA

First call to backward, 3sec interestingly it doesn't appear that with_stack gets events in the backwards loop @albanD is this expected?
<img width=""948"" height=""385"" alt=""Screenshot 2025-11-07 at 2 35 50 PM"" src=""https://github.com/user-attachments/assets/a40bacd0-3fb0-4bd8-b33e-bec8fb3f36c0"" />

Getting form Pt op to impl is about 43 us which is dwarfed by other cpu overheads
<img width=""1227"" height=""649"" alt=""Screenshot 2025-11-07 at 2 37 41 PM"" src=""https://github.com/user-attachments/assets/51da0615-facd-41e1-a6e2-fb7778079ab6"" />

Just invoking the jit object from cutesl is 100s of us
<img width=""545"" height=""414"" alt=""Screenshot 2025-11-07 at 2 38 19 PM"" src=""https://github.com/user-attachments/assets/d20345a0-6c47-4dcb-892f-9ef9894a1cf5"" />

### Example usage
```Py
#!/usr/bin/env python3

""""""Minimal FA4 smoke test for scaled dot product attention.""""""

from __future__ import annotations

import sys
from jsonargparse import CLI

import torch
import torch.nn.functional as F
from torch.nn.attention import (
    install_flash_attention_impl,
    sdpa_kernel,
    SDPBackend,
)

def _map_dtype(kind: str) -> torch.dtype:
    return torch.bfloat16 if kind == ""bf16"" else torch.float16

# To infinity and beyond
install_flash_attention_impl(""FA4"")

@sdpa_kernel([SDPBackend.FLASH_ATTENTION])
def main(
    module_path: str = ""flash_attn.cute.interface"",
    batch: int = 4,
    seq: int = 81292,
    heads: int = 16,
    head_dim: int = 128,
    device: int = 0,
    dtype: str = ""bf16""
    ) -> None:
    if not torch.cuda.is_available():
        sys.exit(""CUDA is required for FA4 smoke testing"")
    torch.cuda.set_device(device)
    dtype = _map_dtype(dtype)
    generator = torch.Generator(device=""cuda"").manual_seed(0)
    q = torch.randn(
        batch,
        heads,
        seq,
        head_dim,
        device=""cuda"",
        dtype=dtype,
        requires_grad=True,
        generator=generator,
    )
    k = torch.randn(
        batch,
        heads,
        seq,
        head_dim,
        device=""cuda"",
        dtype=dtype,
        requires_grad=True,
        generator=generator,
    )
    v = torch.randn(
        batch,
        heads,
        seq,
        head_dim,
        device=""cuda"",
        dtype=dtype,
        requires_grad=True,
        generator=generator,
    )
    from transformer_nuggets.utils.benchmark import profiler
    with profiler(""sdpa_FA4"", with_stack=False):
        for _ in range(3):
            out = F.scaled_dot_product_attention(q, k, v, attn_mask=None, dropout_p=0.0, is_causal=False)
            loss = out.real.sum()
            loss.backward()
    print(""Scaled dot product attention output norm:"", out.norm().item())
    print(""dq norm:"", q.grad.norm().item())

if __name__ == ""__main__"":
    CLI(main)
```

Pull Request resolved: https://github.com/pytorch/pytorch/pull/167348
Approved by: https://github.com/albanD",581,0,581,https://github.com/pytorch/pytorch/commit/cdf0a9c21f7c27298a5bc71620206353125c5494
pytorch/pytorch,115016f1a21b199c4909ecfcc50f7876d7e50e13,fduwjj,2025-11-11 22:49:07+00:00,"[Device Mesh][ez] Clean up unused parameters and duplicate codes (#167581)

While refactoring the code, I found we re-init `_flatten_mapping` and still keep `_flatten_mesh_list ` inside code which is not needed anymore. Let's remove it.

Pull Request resolved: https://github.com/pytorch/pytorch/pull/167581
Approved by: https://github.com/fegin",1,7,8,https://github.com/pytorch/pytorch/commit/115016f1a21b199c4909ecfcc50f7876d7e50e13
pytorch/pytorch,971e6ca434d6edc1faedc4dd9e623cb6e603f6a9,laithsakka,2025-11-11 19:08:05+00:00,"fix sym_size_, sym_stride lowering (#167565)

Pull Request resolved: https://github.com/pytorch/pytorch/pull/167565
Approved by: https://github.com/bobrenjc93, https://github.com/Microve, https://github.com/Skylion007
ghstack dependencies: #167345",8,2,10,https://github.com/pytorch/pytorch/commit/971e6ca434d6edc1faedc4dd9e623cb6e603f6a9
pytorch/pytorch,e8d411e7f763a2411b5fa7fb2ec2161d8d2d42e9,skpark-rh,2025-11-11 23:49:33+00:00,"FSDPMemTracker fix with multihander hooks. (#165662)

Fixes #164663

## Issue
The torch model with multiple layers that is wrapped with fsdp2 registers pre and post forward hooks in a group using `_MultiHandler`. This becomes an issue during the context manager of the tracker where the hooks are reset and replaced. The hooks are all using the same fsdp state pointer so one reset will reset all.  So when the output layer was modified with a new pre and post forward hook it would delete the previous layer's initialization causing `KeyError` for the Norm layer as it is nonexistent.

## The Fix
Check to see if there are multiple `_MultiHandler` objects and `RemoveHandler` objects and only execute the remove hook once.

Pull Request resolved: https://github.com/pytorch/pytorch/pull/165662
Approved by: https://github.com/sanketpurandare",62,4,66,https://github.com/pytorch/pytorch/commit/e8d411e7f763a2411b5fa7fb2ec2161d8d2d42e9
pytorch/pytorch,2e5233d7bd79b903ce7debe0972bb0fc5298040d,pytorchmergebot,2025-11-11 23:01:07+00:00,"Revert ""Support AC in default partitioner when functionalization is enabled (#166610)""

This reverts commit de773364be041ca7fd2dcaf35ca15c093fc9370b.

Reverted https://github.com/pytorch/pytorch/pull/166610 on behalf of https://github.com/soulitzer due to breaking internal tests ([comment](https://github.com/pytorch/pytorch/pull/166610#issuecomment-3519047226))",194,399,593,https://github.com/pytorch/pytorch/commit/2e5233d7bd79b903ce7debe0972bb0fc5298040d
pytorch/pytorch,514dd96376704bf38a21399b953c41f66663c5ff,ethanwee1,2025-11-11 23:00:35+00:00,"Remove --no-use-pep517 flag  (#167096)

In pip 25.3 and newer, use of --no-use-pep517 has been removed (https://pip.pypa.io/en/stable/news/). In builds with pip 25.2, a warning message notes:

> DEPRECATION: Building 'torchvision' using the legacy setup.py bdist_wheel mechanism, which will be removed in a future version. pip 25.3 will enforce this behaviour change. A possible replacement is to use the standardized build interface by setting the `--use-pep517` option, (possibly combined with `--no-build-isolation`), or adding a `pyproject.toml` file to the source tree of 'torchvision'. Discussion can be found at https://github.com/pypa/pip/issues/6334

Pull Request resolved: https://github.com/pytorch/pytorch/pull/167096
Approved by: https://github.com/atalman",1,2,3,https://github.com/pytorch/pytorch/commit/514dd96376704bf38a21399b953c41f66663c5ff
pytorch/pytorch,9ae62fcc18461e8e899f53b02ce54e943a42c5ea,jeffdaily,2025-11-11 22:54:55+00:00,"[ROCm][CI] dynamo benchmarks update ci expected accuracy (#167574)

repvgg_a2 IMPROVED: accuracy=pass, expected=fail_accuracy

Pull Request resolved: https://github.com/pytorch/pytorch/pull/167574
Approved by: https://github.com/jeffdaily

Co-authored-by: Jeff Daily <jeff.daily@amd.com>",1,1,2,https://github.com/pytorch/pytorch/commit/9ae62fcc18461e8e899f53b02ce54e943a42c5ea
pytorch/pytorch,ae71b0e163874b3889e12e830d59b8f194545963,can-gaa-hou,2025-11-11 22:31:03+00:00,"Fix typo in torch._refs (#167310)

Should be a typo here, but it doesn't raise an error because the inner function splits it into `a` and `,`, and the `,` case check is skipped.

Pull Request resolved: https://github.com/pytorch/pytorch/pull/167310
Approved by: https://github.com/eellison",1,1,2,https://github.com/pytorch/pytorch/commit/ae71b0e163874b3889e12e830d59b8f194545963
pytorch/pytorch,5b6ff8148df2eba7f5253f06a79672866204bdf0,pytorchmergebot,2025-11-11 22:27:51+00:00,"Revert ""[ARM] Improve LLM performance & mem usage using int4-bf16 KleidiAI kernels (#158250)""

This reverts commit 402c46503002f98ccfc023a733081fb0719223a1.

Reverted https://github.com/pytorch/pytorch/pull/158250 on behalf of https://github.com/izaitsevfb due to Broke some torch.compile jobs ([comment](https://github.com/pytorch/pytorch/pull/158250#issuecomment-3518944863))",141,807,948,https://github.com/pytorch/pytorch/commit/5b6ff8148df2eba7f5253f06a79672866204bdf0
pytorch/pytorch,1f7e4343e7ede941647803e12aff7f02309aac06,jithunnair-amd,2025-11-11 21:32:19+00:00,"[ROCm][CI] Add docker-cache-rocm.yml to test MI3xx CI docker caching (#167554)

* Trigger this workflow on every completed run of `docker-builds.yml`
* Uses `ubuntu-latest` for downloading artifacts from `docker-build` workflow run
* Uses `linux.rocm.gfx942.docker-cache` to cache docker images as tarballs for MI3xx CI

Pull Request resolved: https://github.com/pytorch/pytorch/pull/167554
Approved by: https://github.com/jeffdaily",109,56,165,https://github.com/pytorch/pytorch/commit/1f7e4343e7ede941647803e12aff7f02309aac06
pytorch/pytorch,b21856f5fc8b6cbac2b8fc8289767f3d7c385e6c,pytorchmergebot,2025-11-11 21:31:12+00:00,"Revert ""[DebugMode] record triton kernels, run-to-run determinism checks (#167028)""

This reverts commit 259ba0ecabd809edd35d12b4f992777cb5923b68.

Reverted https://github.com/pytorch/pytorch/pull/167028 on behalf of https://github.com/pytorch-auto-revert due to Reverted automatically by pytorch's autorevert, to avoid this behaviour add the tag autorevert: disable ([comment](https://github.com/pytorch/pytorch/pull/167028#issuecomment-3518811298))",32,574,606,https://github.com/pytorch/pytorch/commit/b21856f5fc8b6cbac2b8fc8289767f3d7c385e6c
